sku,brand,product_name,category,colour,description,image_filename,alt_text,price_zar,stock_quantity,status
1145-D001-HD-WHITE,1145,Essential Pullover Hoodie – 1145,hoodie,White,Pullover hoodie with a front pouch pocket and a small 1145 chest emblem. Fabric weight and fit subject to sample approval.,1145_hoodie_white_front.png,"Essential Pullover Hoodie by 1145 in white, front view",1499,,DRAFT
XIXLV-D001-BR-SAND,XIXLV,Scoop-Neck Sports Bra – XIXLV,bra,Sand,"Scoop-neck sports bra with wide straps, clean contour seams and a banded underband finished with the embroidered XIXLV wordmark. Support and fit subject to sample testing.",xixlv_bra_sand_front.png,"Scoop-Neck Sports Bra by XIXLV in sand, front view",849,,DRAFT
XIXLV-D001-BR-NAVY,XIXLV,Scoop-Neck Sports Bra – XIXLV,bra,Navy,"Scoop-neck sports bra with wide straps, clean contour seams and a banded underband finished with the embroidered XIXLV wordmark. Support and fit subject to sample testing.",xixlv_bra_navy_front.png,"Scoop-Neck Sports Bra by XIXLV in navy, front view",849,,DRAFT
XIXLV-D001-BR-RED,XIXLV,Scoop-Neck Sports Bra – XIXLV,bra,Red,"Scoop-neck sports bra with wide straps, clean contour seams and a banded underband finished with the embroidered XIXLV wordmark. Support and fit subject to sample testing.",xixlv_bra_red_front.png,"Scoop-Neck Sports Bra by XIXLV in red, front view",849,,DRAFT
XIXLV-D001-BR-BLACK,XIXLV,Scoop-Neck Sports Bra – XIXLV,bra,Black,"Scoop-neck sports bra with wide straps, clean contour seams and a banded underband finished with the embroidered XIXLV wordmark. Support and fit subject to sample testing.",xixlv_bra_black_front.png,"Scoop-Neck Sports Bra by XIXLV in black, front view",849,,DRAFT
XIXLV-D001-BR-WHITE,XIXLV,Scoop-Neck Sports Bra – XIXLV,bra,White,"Scoop-neck sports bra with wide straps, clean contour seams and a banded underband finished with the embroidered XIXLV wordmark. Support and fit subject to sample testing.",xixlv_bra_white_front.png,"Scoop-Neck Sports Bra by XIXLV in white, front view",849,,DRAFT
XIXLV-D001-LG-STONE-GREY,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Stone Grey,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_stone-grey_front.png,"Sculpt High-Rise Legging by XIXLV in stone grey, front view",1199,,DRAFT
XIXLV-D001-LG-TAUPE,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Taupe,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_taupe_front.png,"Sculpt High-Rise Legging by XIXLV in taupe, front view",1199,,DRAFT
XIXLV-D001-LG-SLATE,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Slate,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_slate_front.png,"Sculpt High-Rise Legging by XIXLV in slate, front view",1199,,DRAFT
XIXLV-D001-LG-SMOKE,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Smoke,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_smoke_front.png,"Sculpt High-Rise Legging by XIXLV in smoke, front view",1199,,DRAFT
XIXLV-D001-LG-NAVY,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Navy,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_navy_front.png,"Sculpt High-Rise Legging by XIXLV in navy, front view",1199,,DRAFT
XIXLV-D001-LG-RED,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Red,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_red_front.png,"Sculpt High-Rise Legging by XIXLV in red, front view",1199,,DRAFT
XIXLV-D001-LG-WHITE,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,White,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_white_front.png,"Sculpt High-Rise Legging by XIXLV in white, front view",1199,,DRAFT
XIXLV-D001-LG-BLACK,XIXLV,Sculpt High-Rise Legging – XIXLV,legging,Black,"Sculpting high-rise legging with a wide waistband carrying the XIXLV wordmark and contour seaming down the leg. Opacity, fabric and inseam subject to sample testing.",xixlv_legging_black_front.png,"Sculpt High-Rise Legging by XIXLV in black, front view",1199,,DRAFT
XIXLV-D001-CP-TAUPE,XIXLV,Classic Twill Cap – XIXLV,cap,Taupe,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_taupe_front.png,"Classic Twill Cap by XIXLV in taupe, front view",649,,DRAFT
XIXLV-D001-CP-IVORY,XIXLV,Classic Twill Cap – XIXLV,cap,Ivory,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_ivory_front.png,"Classic Twill Cap by XIXLV in ivory, front view",649,,DRAFT
XIXLV-D001-CP-NAVY,XIXLV,Classic Twill Cap – XIXLV,cap,Navy,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_navy_front.png,"Classic Twill Cap by XIXLV in navy, front view",649,,DRAFT
XIXLV-D001-CP-SAND,XIXLV,Classic Twill Cap – XIXLV,cap,Sand,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_sand_front.png,"Classic Twill Cap by XIXLV in sand, front view",649,,DRAFT
XIXLV-D001-CP-SAGE,XIXLV,Classic Twill Cap – XIXLV,cap,Sage,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_sage_front.png,"Classic Twill Cap by XIXLV in sage, front view",649,,DRAFT
XIXLV-D001-CP-RED,XIXLV,Classic Twill Cap – XIXLV,cap,Red,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_red_front.png,"Classic Twill Cap by XIXLV in red, front view",649,,DRAFT
XIXLV-D001-CP-BLACK,XIXLV,Classic Twill Cap – XIXLV,cap,Black,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_black_front.png,"Classic Twill Cap by XIXLV in black, front view",649,,DRAFT
XIXLV-D001-CP-WHITE,XIXLV,Classic Twill Cap – XIXLV,cap,White,"Washed cotton-twill six-panel cap with a curved brim, adjustable back strap and the XIXLV wordmark embroidered on the front. Closure and material subject to sample approval.",xixlv_cap_white_front.png,"Classic Twill Cap by XIXLV in white, front view",649,,DRAFT
XIXLV-D001-HD-OATMEAL,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Oatmeal,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_oatmeal_front.png,"Oversized Fleece Hoodie by XIXLV in oatmeal, front view",1799,,DRAFT
XIXLV-D001-HD-BLACK,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Black,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_black_front.png,"Oversized Fleece Hoodie by XIXLV in black, front view",1799,,DRAFT
XIXLV-D001-HD-SAND,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Sand,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_sand_front.png,"Oversized Fleece Hoodie by XIXLV in sand, front view",1799,,DRAFT
XIXLV-D001-HD-WHITE,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,White,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_white_front.png,"Oversized Fleece Hoodie by XIXLV in white, front view",1799,,DRAFT
XIXLV-D001-HD-IVORY,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Ivory,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_ivory_front.png,"Oversized Fleece Hoodie by XIXLV in ivory, front view",1799,,DRAFT
XIXLV-D001-HD-NAVY,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Navy,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_navy_front.png,"Oversized Fleece Hoodie by XIXLV in navy, front view",1799,,DRAFT
XIXLV-D001-HD-RED,XIXLV,Oversized Fleece Hoodie – XIXLV,hoodie,Red,"Relaxed, dropped-shoulder fleece hoodie with a lined hood, kangaroo pocket, ribbed cuffs and hem, and a small XIXLV chest wordmark. Fabric weight and fit subject to sample approval.",xixlv_hoodie_red_front.png,"Oversized Fleece Hoodie by XIXLV in red, front view",1799,,DRAFT
XIXLV-D001-TS-SAND,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,Sand,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_sand_front.png,"Track Jacket & Pant Set by XIXLV in sand, front view",3299,,DRAFT
XIXLV-D001-TS-RED,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,Red,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_red_front.png,"Track Jacket & Pant Set by XIXLV in red, front view",3299,,DRAFT
XIXLV-D001-TS-NAVY,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,Navy,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_navy_front.png,"Track Jacket & Pant Set by XIXLV in navy, front view",3299,,DRAFT
XIXLV-D001-TS-BLACK,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,Black,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_black_front.png,"Track Jacket & Pant Set by XIXLV in black, front view",3299,,DRAFT
XIXLV-D001-TS-OATMEAL,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,Oatmeal,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_oatmeal_front.png,"Track Jacket & Pant Set by XIXLV in oatmeal, front view",3299,,DRAFT
XIXLV-D001-TS-WHITE,XIXLV,Track Jacket & Pant Set – XIXLV,tracksuit,White,"Tailored two-piece tracksuit: a funnel-neck full-zip jacket and slim pintuck track pants, each finished with a tonal XIXLV wordmark. Top and bottom sizing subject to sample approval.",xixlv_tracksuit_white_front.png,"Track Jacket & Pant Set by XIXLV in white, front view",3299,,DRAFT
